unode dx dy f11 f12 f21 f22
257 0.000292263 0.0144362 0.714987 0.830614 -0.40807 0.985316
258 -0.000668403 0.0135233 0.836729 0.77921 -0.332863 0.972047
259 0.00115525 0.0147456 0.807088 0.706684 -0.361291 0.934203
260 0.000301511 0.0148533 0.837115 0.713197 -0.371524 0.948833
261 0.00512139 0.0171118 0.694547 0.727 -0.438384 0.952433
262 0.00383347 0.0160361 0.694294 0.821547 -0.422245 0.981061
263 0.00148176 0.0149617 0.751761 0.775219 -0.400548 0.979711
264 0.00535886 0.0173023 0.697942 0.740261 -0.437133 0.968577
265 0.00309374 0.0160679 0.725651 0.764505 -0.420417 0.978476
266 0.000543292 0.0165556 0.762415 0.743401 -0.420272 0.939744
267 -0.00443318 0.0183228 0.83445 0.679992 -0.432166 0.889831
268 -0.00938894 0.0198971 0.902355 0.600901 -0.440113 0.834273
269 -0.0128891 0.0094542 0.941093 0.583517 -0.337635 0.850907
270 -0.0103799 -0.00336398 0.917297 0.585274 -0.229926 0.942663
271 -0.00955681 -0.00523508 0.90934 0.587649 -0.217414 0.968651
272 -0.00770072 -0.0122248 0.895449 0.579751 -0.165335 1.00586
273 -0.00646454 -0.0210093 0.887601 0.56478 -0.104924 1.06945
274 -0.00392187 -0.0289177 0.869055 0.566775 -0.0510018 1.10446
275 -0.00253185 -0.0367557 0.859124 0.568591 -0.00293113 1.16202
276 -0.00323988 -0.0333933 0.860791 0.598427 -0.021354 1.12779
277 -0.00329613 -0.0399033 0.860918 0.60037 0.0156607 1.15894
278 -0.000915571 -0.0414991 0.84701 0.59872 0.022752 1.18344
279 -0.00187515 -0.0345925 0.850853 0.620423 -0.0163411 1.19768
280 -0.0034612 -0.0376131 0.859365 0.621723 0.00410939 1.13763
281 -0.00226349 -0.0365123 0.853185 0.622299 -0.00547367 1.18963
282 -0.00137931 -0.0323278 0.849541 0.613063 -0.0217191 1.13288
283 -0.000389491 -0.0276181 0.844317 0.618735 -0.0478912 1.17728
284 -0.00104835 -0.032704 0.845743 0.639323 -0.02073 1.12832
285 0.00146809 -0.0187087 0.832569 0.66429 -0.0863302 1.15786
286 0.0150003 -0.0246051 0.768865 0.719173 -0.0702278 1.28404
287 0.0315474 -0.00980214 0.70236 0.651153 -0.134167 1.28795
288 -0.0159777 -0.0521597 0.905072 0.513917 0.0459382 1.17594
289 0.0129857 -0.0134975 0.790526 0.50846 -0.106798 1.17449
290 0.0170097 -0.0142162 0.770701 0.576086 -0.105505 1.19835
291 -0.00971618 -0.0428089 0.877959 0.420613 0.0039959 1.12099
292 -0.129628 -0.15943 1.31668 0.304748 0.435973 0.929906
293 -0.134664 -0.162988 1.34019 0.18141 0.453763 0.803264
294 -0.143466 -0.148036 1.37151 0.153421 0.404129 0.776509
295 -0.129298 -0.117225 1.3241 0.162201 0.301881 0.785625
296 -0.127685 -0.139856 1.32282 0.0962576 0.377672 0.755106
297 -0.122948 -0.136196 1.30694 0.118583 0.363847 0.798152
298 -0.0764531 -0.0583217 1.15792 0.227337 0.119257 0.879106
299 -0.0647675 -0.0438975 1.10965 0.487824 0.0692732 1.01206
300 0.00591649 0.00687723 0.893274 0.620686 -0.087022 1.13045
301 0.0589893 0.0373009 0.741327 0.59985 -0.174438 1.12528
302 0.066128 0.0453097 0.720015 0.640516 -0.198607 1.16952
303 0.0623922 0.0347217 0.727822 0.716296 -0.170175 1.19798
304 0.0715684 0.0439322 0.701035 0.76585 -0.196556 1.23558
305 0.0947556 0.0477743 0.636021 0.858041 -0.207941 1.26278
306 0.109971 0.0537119 0.594246 0.925307 -0.227475 1.3666
307 0.0691293 0.0262801 0.704965 0.728254 -0.156032 1.29969
308 0.0259719 0.000779037 0.824257 0.412665 -0.0874485 1.16471
309 -0.00894139 -0.0114149 0.916054 0.224872 -0.055531 1.10326
310 -0.00506302 -0.0119808 0.907036 0.210147 -0.0546329 1.10951
311 0.00458811 -0.00473571 0.88601 0.166616 -0.0705041 1.07604
312 -0.0510823 -0.0660552 1.01782 0.0695881 0.0729432 1.01264
313 -0.106956 -0.107678 1.14929 -0.0680418 0.17359 0.835523
314 -0.100711 -0.103177 1.1353 -0.0681822 0.162096 0.873331
315 -0.103138 -0.081914 1.14082 -0.0612224 0.115153 0.894397
316 -0.125442 -0.122726 1.19063 -0.118839 0.205919 0.80932
317 -0.122322 -0.147743 1.18377 -0.11129 0.258795 0.813717
318 -0.134165 -0.139199 1.20671 -0.0562075 0.239791 0.852894
319 -0.137429 -0.117131 1.21343 -0.0679926 0.194183 0.86026
320 -0.16223 -0.131741 1.2644 -0.128227 0.224718 0.798981
321 -0.177344 -0.132737 1.29276 -0.124379 0.224689 0.809858
322 -0.182417 -0.126006 1.30013 -0.0794156 0.210237 0.809958
323 -0.116441 -0.0679268 1.17002 0.0101005 0.096698 0.847429
324 -0.0822629 -0.109172 1.10864 -0.0807858 0.17261 0.946893
325 -0.115816 -0.0946011 1.16628 0.0935315 0.148323 0.880394
326 -0.0875752 -0.0877433 1.11592 0.0714293 0.137646 0.845376
327 -0.138902 -0.14256 1.20682 0.171203 0.237834 0.842099
328 -0.130094 -0.0903433 1.19092 0.181558 0.14423 0.843757
329 -0.104307 -0.0257225 1.14362 0.254085 0.0302013 0.854335
330 -0.103098 -0.0179472 1.1406 0.288198 0.0155172 0.903679
331 -0.0438813 0.0257714 1.03976 0.259724 -0.0598562 0.911899
332 -0.0634398 -0.0215156 1.07291 0.258389 0.0194656 0.941443
333 -0.0216386 0.00669995 1.00242 0.276692 -0.0288235 0.976353
334 -0.0392681 -0.0379843 1.03138 0.291603 0.0451364 0.991309
335 -0.0265287 -0.0593087 1.01077 0.279922 0.079658 0.991263
336 -0.0311274 -0.0756957 1.01774 0.30698 0.10595 1.01098
337 -0.0370815 -0.0988043 1.02658 0.32935 0.142017 1.02694
338 -0.0326708 -0.125661 1.019 0.366469 0.184355 1.03707
339 -0.0671699 -0.188635 1.07179 0.398381 0.28248 1.01163
340 -0.0824733 -0.177924 1.09463 0.429893 0.267408 0.966327
341 -0.128412 -0.264706 1.16201 0.517693 0.397298 1.0177
342 -0.211425 -0.203099 1.2827 0.665265 0.304923 1.03241
343 -0.298966 -0.283105 1.40615 0.932549 0.422927 1.07063
344 -0.257202 -0.186298 1.3507 0.66821 0.28444 0.887141
345 -0.251264 -0.285418 1.34079 0.671025 0.426986 0.891915
346 -0.375288 -0.259666 1.51281 0.962805 0.392211 0.936158
347 -0.310732 -1.18718 1.4378 0.261909 1.69922 0.970527
348 -0.545857 -1.46913 1.76616 0.546737 2.0953 1.18644
349 0.24273 -0.193637 0.669775 0.650932 0.319272 1.90164
350 0.401065 0.192018 0.452735 0.612862 -0.205311 1.63062
351 0.193482 0.16269 0.733331 0.661574 -0.157481 1.2517
352 0.0606084 -0.0320855 0.908507 0.75845 0.101136 1.30182
353 0.0629999 0.0524211 0.910665 0.526837 -0.00368759 0.991856
354 -0.0120818 0.0251802 1.01093 0.450913 0.0314952 1.00131
355 -0.0121321 0.0776304 1.01154 0.430912 -0.0357032 0.976609
356 -0.0040559 0.184176 1.00015 0.468293 -0.171237 0.891246
357 -0.0220097 0.22095 1.02023 0.619971 -0.218937 0.946448
358 0.0473732 0.236928 0.933891 0.567601 -0.237712 0.874627
359 -0.0337119 0.211443 1.03588 0.538438 -0.204991 0.829842
360 -0.256913 0.0395298 1.31457 0.445439 0.00932278 0.773048
361 -0.401669 -0.0835423 1.49426 0.325648 0.161565 0.672418
362 -0.458742 -0.312814 1.56427 0.306555 0.440261 0.706324
363 -0.417293 -0.150788 1.51303 0.375802 0.245023 0.702498
364 -0.396432 -0.185649 1.48782 0.405769 0.285884 0.729759
365 -0.411986 -0.189589 1.50661 0.385215 0.29028 0.745345
366 -0.341206 -0.215338 1.42418 0.379881 0.319446 0.781947
367 -0.355991 -0.0642698 1.44107 0.392045 0.145202 0.735647
368 -0.298695 -0.040107 1.37505 0.408176 0.117469 0.749264
369 -0.226076 -0.093345 1.29118 0.460371 0.176069 0.822014
370 -0.113453 0.099596 1.16383 0.489665 -0.0413957 0.839606
371 0.0166638 0.316048 1.01788 0.547072 -0.2831 0.83382
372 0.193165 0.47833 0.821619 0.589384 -0.462957 0.838071
373 0.236124 0.466416 0.773296 0.677136 -0.450565 0.883236
374 0.298598 0.471016 0.705163 0.667078 -0.456032 0.905325
375 0.250807 0.458267 0.756374 0.691636 -0.44246 0.921164
376 0.195226 0.455573 0.816402 0.661441 -0.439167 0.892616
377 0.145847 0.408518 0.871091 0.521694 -0.389133 0.89339
378 0.118079 0.416738 0.899923 0.560421 -0.397115 0.854408
379 0.270082 0.459473 0.737379 0.79025 -0.442989 0.928213
380 0.500696 0.529661 0.494899 0.977363 -0.51747 1.02772
381 0.491892 0.509512 0.503311 1.01993 -0.49666 1.02262
382 0.406802 0.470738 0.590566 1.00428 -0.456237 0.974899
383 0.361884 0.466654 0.637335 0.915707 -0.451792 0.952372
384 -0.000609438 0.0148102 0.627996 0.906382 -0.43435 0.974162
385 0.000595705 0.0148508 0.630377 0.85457 -0.433756 0.973252
386 -0.000623387 0.0141513 0.71203 0.862689 -0.386021 0.978571
387 0.000948917 0.0154318 0.804205 0.710496 -0.369312 0.906313
388 0.00388233 0.0157337 0.778451 0.626214 -0.375105 0.907041
389 0.0016351 0.0158129 0.800863 0.693216 -0.401231 0.946103
390 0.00491992 0.0164145 0.747927 0.649173 -0.408269 0.932151
391 0.00502986 0.0166646 0.680629 0.80296 -0.427277 0.967234
392 0.00210103 0.0164052 0.724359 0.813858 -0.420568 0.958954
393 0.00578058 0.0207734 0.668667 0.824842 -0.478661 0.943906
